transaction_id,store_id,sku_id,transaction_date,qty,unit_price,customer_id
1,5,47,18-05-2024,3,57.1,CUST_439
1,5,37,18-05-2024,2,154.88,CUST_439
2,4,7,18-02-2024,3,163.11,CUST_834
3,7,44,29-04-2024,3,186.49,CUST_842
4,2,16,27-03-2024,1,79.32,
5,4,18,18-04-2024,1,125.73,CUST_288
5,4,30,18-04-2024,1,110.53,CUST_288
6,8,42,26-01-2024,3,33.89,CUST_1128
7,1,32,12-02-2024,1,60.7,CUST_485
7,1,31,12-02-2024,1,146.94,CUST_485
7,1,14,12-02-2024,2,156.88,CUST_485
7,1,26,12-02-2024,1,180.59,CUST_485
8,7,45,14-03-2024,3,145.46,CUST_932
8,7,47,14-03-2024,2,57.1,CUST_932
8,7,36,14-03-2024,1,131.4,CUST_932
8,7,43,14-03-2024,1,60.36,CUST_932
9,5,4,28-05-2024,3,51.54,CUST_120
9,5,48,28-05-2024,3,115.25,CUST_120
9,5,21,28-05-2024,1,166.14,CUST_120
9,5,38,28-05-2024,1,123.8,CUST_120
9,5,31,28-05-2024,3,146.94,CUST_120
10,2,44,01-06-2024,1,186.49,CUST_141
11,7,39,04-03-2024,3,176.96,CUST_1167
11,7,3,04-03-2024,3,26.52,CUST_1167
11,7,40,04-03-2024,3,21.01,CUST_1167
11,7,6,04-03-2024,3,51.88,CUST_1167
11,7,27,04-03-2024,2,106.81,CUST_1167
12,5,26,02-03-2024,3,180.59,CUST_644
12,5,9,02-03-2024,2,27.62,CUST_644
12,5,43,02-03-2024,2,60.36,CUST_644
13,6,40,03-01-2024,3,21.01,CUST_149
13,6,37,03-01-2024,1,154.88,CUST_149
13,6,7,03-01-2024,3,163.11,CUST_149
13,6,5,03-01-2024,2,47.78,CUST_149
14,3,19,03-03-2024,3,41.05,CUST_141
14,3,11,03-03-2024,3,33.72,CUST_141
14,3,29,03-03-2024,2,123.32,CUST_141
15,10,20,03-01-2024,1,115.82,CUST_1084
15,10,43,03-01-2024,1,60.36,CUST_1084
15,10,7,03-01-2024,3,163.11,CUST_1084
15,10,9,03-01-2024,3,27.62,CUST_1084
15,10,17,03-01-2024,1,60.73,CUST_1084
16,5,44,28-03-2024,2,186.49,CUST_432
16,5,41,28-03-2024,3,149.06,CUST_432
17,8,18,24-01-2024,1,125.73,CUST_105
17,8,3,24-01-2024,3,26.52,CUST_105
17,8,1,24-01-2024,2,31.15,CUST_105
17,8,22,24-01-2024,1,22.58,CUST_105
18,8,8,23-05-2024,1,39.54,CUST_876
19,3,10,29-05-2024,2,60.26,CUST_757
19,3,28,29-05-2024,1,30.83,CUST_757
19,3,9,29-05-2024,2,27.62,CUST_757
19,3,3,29-05-2024,1,26.52,CUST_757
19,3,20,29-05-2024,3,115.82,CUST_757
20,4,40,23-05-2024,1,21.01,CUST_725
20,4,48,23-05-2024,1,115.25,CUST_725
20,4,10,23-05-2024,2,60.26,CUST_725
20,4,16,23-05-2024,1,79.32,CUST_725
21,3,18,15-04-2024,3,125.73,CUST_681
21,3,11,15-04-2024,1,33.72,CUST_681
22,7,30,26-02-2024,2,110.53,CUST_964
22,7,23,26-02-2024,1,69.79,CUST_964
23,4,22,19-02-2024,2,22.58,
23,4,18,19-02-2024,2,125.73,
23,4,5,19-02-2024,3,47.78,
23,4,50,19-02-2024,3,173.33,
24,7,8,25-03-2024,2,39.54,CUST_1099
25,3,39,10-01-2024,2,176.96,CUST_544
26,6,33,21-04-2024,2,92.61,CUST_643
26,6,8,21-04-2024,1,39.54,CUST_643
26,6,25,21-04-2024,3,116.66,CUST_643
26,6,37,21-04-2024,2,154.88,CUST_643
26,6,13,21-04-2024,1,46.53,CUST_643
27,9,24,24-06-2024,1,97.18,CUST_1103
27,9,28,24-06-2024,3,30.83,CUST_1103
28,6,20,17-03-2024,3,115.82,CUST_256
28,6,43,17-03-2024,2,60.36,CUST_256
28,6,27,17-03-2024,3,106.81,CUST_256
28,6,21,17-03-2024,1,166.14,CUST_256
28,6,26,17-03-2024,1,180.59,CUST_256
29,7,40,22-06-2024,2,21.01,CUST_777
29,7,37,22-06-2024,2,154.88,CUST_777
30,9,28,14-03-2024,3,30.83,CUST_623
30,9,38,14-03-2024,3,123.8,CUST_623
31,6,33,21-06-2024,3,92.61,CUST_906
31,6,31,21-06-2024,1,146.94,CUST_906
32,2,44,24-01-2024,1,186.49,CUST_687
32,2,20,24-01-2024,1,115.82,CUST_687
33,3,40,03-03-2024,2,21.01,
33,3,50,03-03-2024,3,173.33,
33,3,5,03-03-2024,3,47.78,
33,3,30,03-03-2024,1,110.53,
34,7,49,07-02-2024,1,144.49,CUST_500
35,7,36,28-04-2024,1,131.4,CUST_1061
36,2,36,19-06-2024,3,131.4,CUST_952
36,2,39,19-06-2024,3,176.96,CUST_952
36,2,21,19-06-2024,3,166.14,CUST_952
